Name,RA,Dec,D,z,Origin,F60,F70,F100,F160,F250,F350,F500,sigma60,sigma70,sigma100,sigma160,sigma250,sigma350,sigma500,L_IR
HATLAS J115645.5-011734,179.189709,-1.292796,2.440961743561644e+24,0.01926,H-ATLAS,,,307.10893937280775,369.57266290007533,127.33500000000001,73.506,31.43,,,92.2422,87.2154,7.335999999999999,8.184000000000001,8.547,
HATLAS J114340.2-012627,175.917502,-1.440994,1.5678680025753424e+25,0.12371,H-ATLAS,,,219.8806511792075,300.4094795559198,125.01899999999999,55.95399999999999,7.0089999999999995,,,41.3164,47.9445,7.263999999999999,8.063,8.542,
HATLAS J115201.1-002813,178.004951,-0.470463,9.772718590136987e+24,0.07711,H-ATLAS,,,269.70565117920745,179.17247955591978,127.26799999999999,64.841,28.972,,,41.3164,47.9445,7.3229999999999995,8.107,8.514000000000001,
HATLAS J115136.4+000002,177.901803,0.000646,7.665076129315068e+24,0.06048,H-ATLAS,,,215.87344291578233,255.82910875435172,125.04899999999999,69.211,38.976,,,90.1612,85.57979999999999,7.3660000000000005,8.141,8.685,
HATLAS J121908.6-014830,184.786137,-1.808498,1.305394909589041e+25,0.103,H-ATLAS,,,257.0276511792075,278.4654795559198,127.47,55.847,15.791,,,41.3164,47.9445,7.311,8.177,8.806,
HATLAS J121517.9-003316,183.824888,-0.554455,1.0306282917260275e+25,0.08132,H-ATLAS,,,185.834,302.58299999999997,125.95600000000002,55.047,28.534,,,41.3164,47.9445,7.386,8.16,8.711,
HATLAS J120802.4-022600,182.010097,-2.433522,1.07194467430137e+25,0.08458,H-ATLAS,,,168.4356511792075,182.33047955591977,122.734,53.573,22.863000000000003,,,41.3164,47.9445,7.335999999999999,8.106,8.411,
HATLAS J113853.9-020521,174.724699,-2.089209,1.332389969369863e+25,0.10513,H-ATLAS,,,151.6366511792075,153.7514795559198,119.004,49.2,16.627,,,41.3164,47.9445,7.245,8.214,8.572,
HATLAS J113839.8-000842,174.666146,-0.145187,9.114951640547945e+24,0.07192,H-ATLAS,,,135.1966511792075,240.33547955591976,121.795,64.913,20.483999999999998,,,41.3164,47.9445,7.3229999999999995,8.163,8.758000000000001,
HATLAS J120405.7-024153,181.023861,-2.698125,1.0431752913424659e+25,0.08231,H-ATLAS,,,211.6927399223186,242.3980356432572,124.789,59.391,36.503,,,60.907500000000006,63.3596,7.3629999999999995,8.155000000000001,8.94,
HATLAS J121927.8-013823,184.866192,-1.639961,1.832495630849315e+25,0.14459,H-ATLAS,,,258.07965117920753,198.44047955591975,129.424,54.629999999999995,30.625,,,41.3164,47.9445,7.517,8.132,8.543000000000001,
HATLAS J120914.5+012138,182.310417,1.360821,3.1907400236712326e+25,0.25176,H-ATLAS,,,153.5466511792075,195.40747955591976,126.581,59.248000000000005,16.233,,,41.3164,47.9445,7.335999999999999,8.122,8.526,
HATLAS J115508.9-012018,178.787084,-1.338519,1.8052470963287672e+25,0.14244,H-ATLAS,,,186.20465117920747,275.9834795559198,127.18599999999999,58.673,10.344000000000001,,,41.3164,47.9445,7.252,8.041,8.462000000000002,
HATLAS J120309.8+001908,180.790929,0.319157,1.0961515119452055e+25,0.08649,H-ATLAS,,,172.8406511792075,251.19047955591978,123.097,69.178,40.808,,,41.3164,47.9445,7.346,8.104999999999999,8.513,
HATLAS J120205.6-023453,180.523652,-2.581593,1.1424106519452054e+25,0.09014,H-ATLAS,,,128.5886511792075,203.47547955591978,123.14,57.861999999999995,22.127000000000002,,,41.3164,47.9445,7.296,8.156,8.88,
HATLAS J121844.2-005542,184.684534,-0.928464,1.5209751757260273e+25,0.12001,H-ATLAS,,,65.48903567663729,239.0951027788669,127.021,62.123,25.575,,,57.505599999999994,60.8508,7.405,8.164,8.41,
HATLAS J115611.5-003258,179.048123,-0.54952,2.063537856109589e+25,0.16282,H-ATLAS,,,118.41565117920749,176.96747955591977,122.70200000000001,66.329,21.985999999999997,,,41.3164,47.9445,7.286,8.131,8.857000000000001,
HATLAS J121814.1-004527,184.558883,-0.757654,1.0701703511232878e+25,0.08444,H-ATLAS,,,124.9156511792075,223.95947955591978,119.568,51.783,17.425,,,41.3164,47.9445,7.218,8.225,8.725999999999999,
HATLAS J121726.7-014014,184.361625,-1.670663,4.2929749293698625e+25,0.33873,H-ATLAS,,,108.55965117920749,227.26247955591978,115.617,63.892,24.417,,,41.3164,47.9445,7.186999999999999,8.156,8.571,
HATLAS J115955.3+005306,179.980723,0.885044,1.2720629813150684e+25,0.10037,H-ATLAS,,,140.65365117920751,274.77447955591975,124.5,48.800000000000004,17.979,,,41.3164,47.9445,7.454,8.354000000000001,8.671999999999999,
HATLAS J120413.1-023833,181.054814,-2.642741,1.1274556423013699e+25,0.08896,H-ATLAS,,,236.75365117920748,191.04247955591978,123.043,38.647,20.96,,,41.3164,47.9445,7.3229999999999995,8.233,8.873000000000001,
HATLAS J115355.4-012800,178.481063,-1.466939,9.749905863561643e+24,0.07693,H-ATLAS,,,160.2266511792075,186.10847955591979,122.735,63.245,24.592,,,41.3164,47.9445,7.283,8.309000000000001,8.925,
HATLAS J121422.3+004823,183.593262,0.806577,9.448270923287672e+24,0.07455,H-ATLAS,,,172.9486511792075,227.98247955591978,117.50099999999999,57.162,32.561,,,41.3164,47.9445,7.281000000000001,8.042,8.439,
HATLAS J114003.4-013458,175.014194,-1.582787,3.788686934684931e+25,0.29894,H-ATLAS,,,164.6286511792075,137.87147955591976,116.452,70.345,34.471000000000004,,,45.448,50.3418,7.182,8.267999999999999,8.668000000000001,
HATLAS J121427.4+005818,183.614496,0.971801,2.338431211342466e+25,0.18451,H-ATLAS,,,229.4076511792075,234.86947955591978,118.874,51.16,14.3,,,41.3164,47.9445,7.275,8.243,8.586,
HATLAS J114224.1-010659,175.600438,-1.11649,6.065143572164383e+25,0.47856,H-ATLAS,,,157.2856511792075,231.49047955591976,119.624,62.47,17.238,,,41.3164,47.9445,7.353,8.379,9.192,
