HRS,D,T2,T_up2,T_low2,log_M2,log_M_up2,log_M_low2,beta,beta_up,beta_low,T,T_up,T_low,log_M,log_M_up,log_M_low
HRS-168,23,21,0.6,0.6,6.35,0.05,0.05,1.2,0.3,0.3,27,4,3.1,6.15,0.11,0.11
HRS-169,24.3,20.1,0.7,0.7,6.73,0.05,0.05,1.8,0.3,0.3,21.4,2.4,2,6.68,0.1,0.1
HRS-170,17,19.9,1.1,1.2,7.29,0.08,0.08,1.9,0.5,0.5,20.8,4.4,3.3,7.25,0.2,0.2
HRS-171,23,23.5,0.4,0.4,6.76,0.02,0.02,2.2,0.2,0.2,22,1.3,1.2,6.81,0.05,0.05
HRS-172,17,22.2,0.7,0.7,6.63,0.04,0.04,2.3,0.3,0.3,20.1,2,1.7,6.72,0.1,0.09
HRS-173,17,23.9,0.4,0.4,6.82,0.02,0.02,2.2,0.2,0.2,22.3,1.4,1.3,6.88,0.06,0.06
HRS-174,17,25.9,0.3,0.3,6.23,0.01,0.01,,,,,,,,,
HRS-176,23,21.9,0.4,0.4,6.81,0.03,0.03,2.3,0.2,0.2,20,1.2,1.1,6.9,0.06,0.06
HRS-177,17,22.8,0.3,0.3,6.57,0.02,0.02,1.9,0.2,0.2,23.4,1.3,1.1,6.55,0.05,0.05
HRS-180,17,25.6,0.9,0.9,5.72,0.06,0.07,3.5,0.8,0.7,17.9,3.2,2.5,5.96,0.12,0.13
HRS-182,17,20.6,0.3,0.3,6.82,0.02,0.02,1.7,0.1,0.1,23,1.3,1.2,6.72,0.05,0.05
HRS-184,17,26.8,1,0.9,5.94,0.06,0.06,2.5,0.5,0.5,22.7,3.7,2.9,6.05,0.11,0.12
HRS-185,17,19.1,0.8,0.8,6.53,0.07,0.06,2.2,0.5,0.5,18.2,2.7,2.3,6.58,0.15,0.14
HRS-188,17,19.3,0.5,0.5,7,0.03,0.03,1.6,0.2,0.2,21.9,1.6,1.4,6.88,0.07,0.07
HRS-189,17,20.8,0.6,0.6,6.5,0.04,0.04,1.8,0.2,0.2,22.6,2,1.8,6.43,0.08,0.08
HRS-190,17,21.2,0.3,0.3,8.02,0.02,0.02,2.2,0.1,0.1,20.1,0.9,0.8,8.08,0.04,0.04
HRS-191,17,21.4,1.4,1.5,5.88,0.1,0.1,1.3,0.7,0.6,26.4,8.2,5.3,5.71,0.19,0.21
HRS-192,17,20.8,0.7,0.6,5.8,0.06,0.06,2.4,0.5,0.5,18.8,2.5,2.1,5.88,0.11,0.11
HRS-193,17,20.3,0.5,0.5,6.71,0.04,0.04,1.4,0.2,0.2,24.4,2.3,2,6.54,0.08,0.08
HRS-194,17,,,,,,,1.4,0.1,0.1,21.3,0.9,0.8,7.88,0.04,0.04
HRS-196,17,21.5,0.6,0.6,7,0.04,0.04,1.4,0.3,0.2,26,2.8,2.3,6.84,0.08,0.08
HRS-197,17,20.7,0.4,0.4,6.84,0.03,0.03,1.7,0.2,0.2,22.6,1.3,1.2,6.76,0.05,0.05
HRS-198,16.77,16.1,0.7,0.7,6.91,0.07,0.07,1.6,0.4,0.3,18.4,2.9,2.7,6.75,0.19,0.16
HRS-199,17,20.8,1.6,1.5,6.25,0.11,0.12,1.7,0.7,0.6,22.8,7.6,5.1,6.16,0.27,0.26
HRS-200,17,,,,,,,2.2,0.1,0.1,22.3,0.7,0.6,7.07,0.03,0.03
HRS-201,17,22.1,0.2,0.2,7.88,0.01,0.01,2,0.1,0.1,22.5,0.6,0.6,7.86,0.02,0.02
